loan_id,is_first_loan,fully_repaid_previous_loans,currently_repaying_other_loans,total_credit_card_limit,avg_percentage_credit_card_limit_used_last_year,saving_amount,checking_amount,is_employed,yearly_salary,age,dependent_number
955066,1,1.0,1.0,13806.710904901556,10,275,1504.5303988847247,0,36020.347451368776,41,3
899953,1,1.0,0.0,3401.403281776092,84,9054,1018.1183704745844,1,22064.272594536,38,1
449665,0,1.0,0.0,14900.83425600982,15,3203,1621.7825628667172,0,36020.347451368776,49,2
546685,1,1.0,0.0,1079.1715046702898,60,1500,2468.4666101472103,0,25000.0,61,7
923296,1,1.0,0.0,4870.783857264927,50,5491,8011.4083832327715,0,72040.69490273755,50,1
636948,1,0.0,0.0,852.5052855903439,70,6090,902.9373022996818,1,66192.817783608,45,6
530296,1,1.0,0.0,16804.99587590483,23,1440,10379.90209566902,0,25000.0,62,3
549371,0,0.0,0.0,15432.94408512598,48,8040,4207.50133699592,1,25000.0,23,5
231225,0,1.0,1.0,8657.998607966041,60,7732,4316.113867842398,0,36020.347451368776,19,8
778983,1,0.0,0.0,1504.8593679632158,60,6474,396.1888909286273,1,108061.04235410632,20,8
821141,1,1.0,0.0,3233.6864565394226,78,2675,1132.6138370532076,1,44128.545189072,32,7
533110,1,1.0,0.0,9520.084297327316,70,9658,4927.418672458477,0,22064.272594536,27,0
866556,0,1.0,0.0,8075.598280763273,70,6843,3118.116059877717,1,22064.272594536,19,8
334440,1,1.0,0.0,17298.406808357995,60,2841,4069.267206827676,0,108061.04235410632,29,8
662369,1,0.0,1.0,7003.620775623079,46,3235,4081.609539878412,1,72040.69490273755,55,8
906555,0,1.0,1.0,952.6050508501744,70,1385,3011.847812454444,1,44128.545189072,49,6
957312,1,1.0,0.0,8839.179805979147,32,1486,4332.158900808354,1,36020.347451368776,58,8
778003,0,1.0,0.0,10756.534231554722,60,5385,9880.03760711421,1,25000.0,25,4
935876,1,1.0,0.0,4978.964863845567,13,8488,4090.249173013928,0,21612.208470821264,53,0
261087,0,0.0,0.0,2967.195690748351,70,667,206.3660804800336,0,25000.0,56,2
781281,0,0.0,1.0,13083.745153606546,60,4303,11000.721448121045,1,72040.69490273755,46,2
984159,1,1.0,0.0,11325.194633767836,70,9719,3914.7851147541255,0,44128.545189072,21,5
662730,1,1.0,0.0,4308.930292641707,70,5493,5456.017503189725,0,66192.817783608,52,6
971700,1,0.0,1.0,16438.2358779851,49,9802,6130.436826300597,1,36020.347451368776,42,0
877914,1,1.0,1.0,4926.193641123304,6,7789,971.3416110929272,1,36020.347451368776,35,7
264153,0,0.0,1.0,11439.04204542933,19,3062,10925.433216511554,1,21612.208470821264,51,0
549942,1,0.0,0.0,5954.941664430839,70,190,3184.6194147167976,0,25000.0,20,0
597742,1,1.0,0.0,8106.539330518388,28,952,11710.405598538366,0,72040.69490273755,56,9
631266,0,1.0,1.0,2093.258501316455,45,6265,11354.946406677169,1,72040.69490273755,26,6
358424,1,1.0,0.0,2437.150969389872,60,1500,2468.4666101472103,0,28816.277961095017,26,8
265628,1,0.0,1.0,10295.028837650108,71,4628,4359.054949143036,1,13238.5635567216,43,8
397320,0,1.0,0.0,12578.02093585152,53,6388,6862.337176209245,0,108061.04235410632,52,5
575482,0,0.0,1.0,8238.674719530944,70,9148,3288.830857351233,1,22064.272594536,48,7
644256,0,1.0,1.0,8228.792663158298,60,2602,4881.392721566109,0,21612.208470821264,50,8
209501,0,0.0,1.0,12047.67014749277,60,6431,5836.689299693079,0,72040.69490273755,20,3
645235,1,1.0,0.0,6117.064233889051,60,156,9588.75854711684,1,25000.0,34,3
189017,0,0.0,1.0,12338.791392843925,60,891,4534.5731628404255,1,21612.208470821264,27,0
513189,1,1.0,1.0,2667.585308610423,60,748,9918.298839571493,1,25000.0,21,2
258958,1,0.0,1.0,15562.233580795524,60,9322,989.8551106690312,0,108061.04235410632,64,1
693078,0,1.0,0.0,9044.113228078586,86,4730,1396.5704516206924,1,66192.817783608,27,5
423642,1,1.0,0.0,12950.058056043476,60,992,8774.164565768258,1,25000.0,56,8
916333,1,1.0,1.0,1518.9316940224862,60,1500,2468.4666101472103,1,28816.277961095017,19,8
258709,0,1.0,0.0,12824.28664188875,34,1677,2089.556985489613,0,36020.347451368776,43,5
739799,1,0.0,1.0,9689.676012186294,60,8360,9913.361906351196,1,21612.208470821264,54,7
220969,0,0.0,0.0,4005.335804619805,29,2390,8031.156116113949,1,72040.69490273755,59,5
767789,1,1.0,1.0,1653.3034076689871,70,359,1356.1199574402208,0,66192.817783608,51,7
468903,0,1.0,1.0,15519.137082239007,60,2067,994.7920438893258,0,25000.0,29,9
727576,0,1.0,0.0,11476.338650186652,92,182,5530.062475587877,1,66192.817783608,18,1
410121,0,1.0,0.0,3157.4515359773,70,2833,5133.099151342231,1,22064.272594536,48,7
166437,1,1.0,0.0,4300.312432056424,91,6931,3851.709767896441,1,44128.545189072,22,8
633956,1,0.0,0.0,706.0016556405258,70,5916,5027.516505515237,1,44128.545189072,31,8
857363,1,0.0,0.0,5170.716351170048,70,356,2674.5318270850867,1,66192.817783608,55,9
807547,0,1.0,0.0,2985.971685701413,15,5908,4274.149935469894,0,21612.208470821264,36,4
837129,1,0.0,0.0,4752.928126518538,40,6717,1576.1159305789938,1,36020.347451368776,24,7
839690,1,0.0,1.0,7126.753628641694,8,987,7220.26483468059,0,21612.208470821264,54,0
572263,1,1.0,0.0,11986.983241362168,60,7737,3068.3039964129825,0,72040.69490273755,57,5
941161,1,0.0,0.0,4312.288416787637,60,3861,11611.666934132478,0,108061.04235410632,34,1
463268,0,1.0,0.0,12369.574606098578,45,6949,4732.050491652202,1,25000.0,30,9
839786,1,0.0,0.0,4110.056586827474,70,5795,3742.013512491772,1,22064.272594536,37,2
829280,0,1.0,0.0,12817.250478859114,56,260,2988.0788315831983,1,36020.347451368776,61,5
386450,0,0.0,1.0,1107.3161567888303,23,8325,1698.3050277812808,0,108061.04235410632,40,5
352881,1,1.0,1.0,7699.321395178254,60,2121,8081.759681621967,1,72040.69490273755,63,3
533735,0,0.0,1.0,2384.3797466676087,28,5271,2401.818011673236,1,21612.208470821264,47,8
713775,1,0.0,0.0,15462.847778001928,60,166,2359.854079300733,0,108061.04235410632,48,7
